GNews_スマートウォッチ新作|https://news.google.com/rss/search?q=%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81%2B%E6%96%B0%E4%BD%9C%2B%E6%AF%94%E8%BC%83&hl=ja&gl=JP&ceid=JP:ja
GNews_半導体不足解消|https://news.google.com/rss/search?q=%E5%8D%8A%E5%B0%8E%E4%BD%93%2B%E7%94%9F%E7%94%A3%2B%E5%9C%A8%E5%BA%AB&hl=ja&gl=JP&ceid=JP:ja
GNews_サイバー攻撃速報|https://news.google.com/rss/search?q=%E3%82%B5%E3%82%A4%E3%83%90%E3%83%BC%E6%94%BB%E6%92%83%2B%E8%84%86%E5%BC%B1%E6%80%A7%2B%E9%80%9F%E5%A0%B1&hl=ja&gl=JP&ceid=JP:ja
GNews_LinuxKernel動向|https://news.google.com/rss/search?q=Linux%2BKernel%2B%E3%82%A2%E3%83%83%E3%83%97%E3%83%87%E3%83%BC%E3%83%88&hl=ja&gl=JP&ceid=JP:ja
GNews_量子コンピュータ実用化|https://news.google.com/rss/search?q=%E9%87%8F%E5%AD%90%E3%82%B3%E3%83%B3%E3%83%94%E3%83%A5%E3%83%BC%E3%82%BF%2B%E6%9C%80%E6%96%B0%2B%E7%A0%94%E7%A9%B6&hl=ja&gl=JP&ceid=JP:ja
GNews_MetaQuestVR|https://news.google.com/rss/search?q=Meta+Quest%2B%E6%96%B0%E4%BD%9C%2BVR%E3%82%B2%E3%83%BC%E3%83%A0&hl=ja&gl=JP&ceid=JP:ja
GNews_5G通信エリア拡大|https://news.google.com/rss/search?q=5G%2B6G%2B%E9%80%9A%E4%BF%A1%2B%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC&hl=ja&gl=JP&ceid=JP:ja
GNews_自作キーボード沼|https://news.google.com/rss/search?q=%E8%87%AA%E4%BD%9C%E3%82%AD%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%89%2B%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81%2B%E6%96%B0%E4%BD%9C&hl=ja&gl=JP&ceid=JP:ja
GNews_ポータブルゲーミングPC|https://news.google.com/rss/search?q=UMPC%2B%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%96%E3%83%AB%E3%82%B2%E3%83%BC%E3%83%9F%E3%83%B3%E3%82%B0PC%2B%E6%96%B0%E4%BD%9C&hl=ja&gl=JP&ceid=JP:ja
GNews_Techスタートアップ|https://news.google.com/rss/search?q=Tech%2B%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%88%E3%82%A2%E3%83%83%E3%83%97%2B%E8%B3%87%E9%87%91%E8%AA%BF%E9%81%94&hl=ja&gl=JP&ceid=JP:ja
